cab,6
intend,61
drive,197
impossibility,10
sleep,127
street,126
card,60
generally,38
drink,106
bout,3
recall,78
passionately,19
accustom,46
conventional,3
definite,40
dead,73
dishonor,5
indulge,4
reflection,32
nullify,1
decision,28
intention,54
barrack,2
ascend,16
stair,16
empty,52
bottle,46
overshoe,1
lie,169
smell,46
alcohol,1
shout,416
distance,81
disperse,33
sly,12
familiar,59
growl,4
commotion,4
eight,40
nine,26
anxiously,13
window,135
romp,1
bet,14
hundred,146
stevens,2
dólokhov,329
bruin,2
draught,2
fourth,44
jacob,1
tall,61
linen,12
shirt,49
unfasten,6
front,266
bite,66
pétya,267
clear,162
blue,94
drunken,16
sober,4
ring,75
semënov,8
regiment,261
notorious,5
gambler,4
duelist,2
brow,38
tipsy,13
refill,3
naval,6
rum,12
out,7
ledge,4
floor,52
hang,83
englishman,15
distinctly,25
curly,22
infantry,82
mustache,55
line,167
remarkably,5
finely,2
curve,8
sharp,24
wedge,3
firmly,46
distinct,11
together,142
resolute,36
insolent,8
intelligence,10
game,43
nearly,55
clearheadedness,1
rake,6
scapegrace,3
frame,26
sill,11
flurry,6
intimidate,6
gentleman,130
swagger,5
stride,14
smash,11
tug,8
pane,1
hercules,2
crossbeam,1
wrench,5
oak,25
crash,5
brag,3
eh,86
rate,32
sky,62
dawn,23
merge,22
afterglow,1
sunset,2
visible,40
jump,63
onto,63
fifty,33
outside,45
spot,69
stoop,29
slop,8
button,21
wager,2
hammer,5
attract,40
pay,99
indication,15
accept,62
challenge,21
release,23
translate,9
lad,94
hussar,190
climb,12
stone,33
pavement,5
shut,27
awkwardly,15
trip,9
spur,34
carefully,46
candle,56
forward,179
scar,23
folly,10
sensible,9
come,54
meddle,5
emit,7
separately,10
compress,13
erect,17
sideways,10
purse,28
wall,75
hide,102
collar,28
tremble,72
perceptibly,5
tilt,3
elapse,6
backward,7
spine,5
nervously,7
sufficient,16
slip,40
waver,7
strain,42
refrain,28
cover,126
aware,26
stir,49
pale,125
smelt,3
strongly,21
devil,73
mad,17
giddy,1
staircase,11
bang,6
strong,110
fly,105
grind,108
dance,111
cornet,8
staff,140
endeavor,7
rostóvs,160
town,133
darling,39
bóry,5
childhood,25
tenth,18
august,47
equipment,8
march,139
radzivílov,1
natalia,1
nataly,5
rostóva,29
povarskáya,5
eldest,27
congratulate,22
constantly,24
succeed,29
relay,6
oriental,8
type,11
childbearing,1
twelve,12
languor,3
result,125
inspire,22
entertain,21
inner,26
dinner,187
grateful,18
chère,9
variation,5
offend,39
cheerful,48
clean,52
shave,27
jauntily,6
dignity,32
surmise,8
weather,26
bad,193
unflinching,1
fulfillment,7
stroke,27
scanty,2
patch,11
conservatory,12
pantry,5
marble,7
eighty,11
unfold,9
damask,2
dmítri,13
vasílevich,2
manager,2
enormous,45
complacent,4
lvóvna,1
karágina,12
announce,51
gigantic,7
bass,16
pinch,8
snuffbox,27
portrait,34
caller,2
proud,35
razumóvski,1
apráksina,5
scrap,13
mamma,108
mantle,7
illness,37
wealthy,24
celebrate,14
beau,3
improperly,1
vexation,26
allude,13
fifteen,30
modern,18
like,85
expel,6
police,36
interpose,4
certain,137
degrade,5
somehow,10
hush,8
brigand,12
ivánovna,22
dólokhova,1
worthy,32
fancy,52
somewhere,47
interfere,14
policeman,10
moyka,1
canal,1
swim,7
cut,80
dreadful,48
cyril,13
vladímirovich,10
foreign,21
decline,15
inattention,2
score,10
intervene,4
knowledge,45
reputation,18
heir,11
dr,2
lorrain,11
inherit,6
immense,40
fortune,21
serf,93
million,47
cousin,39
godfather,4
attach,29
yesterday,54
inspection,7
pretext,27
imagine,126
impersonate,1
portly,4
deep,104
dine,11
ensue,6
affably,1
conceal,51
footstep,31
thirteen,12
muslin,5
frock,7
dart,9
flight,37
doorway,15
student,7
jacket,25
wide,49
feign,5
severity,13
ilyá,33
black,134
heave,13
bodice,7
curl,18
toss,12
frilled,1
drawer,7
slipper,8
flush,84
mantilla,3
severe,18
fragmentary,1
doll,10
mimi,3
natásha,1213
loud,78
prim,1
monstrosity,1
sternness,1
compel,9
condescension,6
meanwhile,32
generation,7
nicholas,633
undergraduate,1
sónya,448
niece,15
within,82
bound,9
decorum,4
mirth,4
dash,25
impetuously,6
scandal,4
fair,27
enthusiasm,28
fail,46
relate,53
quietly,55
humorously,1
crack,22
across,116
skull,7
control,30
rush,109
fast,49
nimble,2
angrily,79
vex,19
program,10
four,110
slender,22
brunette,1
tender,48
veil,14
lash,9
thick,35
plait,17
coil,4
twice,53
tawny,1
tint,3
complexion,1
graceful,9
muscular,11
neck,78
softness,5
flexibility,1
limb,5
coyness,1
reserve,26
kitten,7
cat,4
passionate,23
girlish,6
adoration,4
single,80
instant,64
impose,10
spring,78
energy,24
university,6
archive,1
department,10
flare,15
shameful,9
aspersion,1
simply,77
approbation,2
schubert,2
colonel,110
pávlograd,20
playfully,3
diplomat,9
clerk,23
flirtatiousness,1
feast,8
gambol,1
kittenish,1
nature,33
ensign,2
julie,72
rostóv,776
arkhárovs,4
thursday,6
engage,37
confidential,4
involuntary,16
stab,7
heart,198
unnaturally,13
maintain,31
vanish,30
cousinage,2
dangereux,2
voisinage,2
cousinhood,2
dangerous,37
neighborhood,7
brightness,5
rejoice,22
depend,48
parent,32
confidante,1
impulsive,4
mischief,3
youngster,2
solve,15
perplex,10
volcano,2
truth,88
singer,18
salomoni,1
lesson,23
harm,33
train,50
concern,63
occupy,119
forbid,21
strict,8
differently,19
véra,71
enhance,2
therefore,73
learn,94
